Symbol,Series,Security Name,Band,Remarks
ADVANIHOTR,EQ,Advani Hotels & Resorts (India) Limited,5,-
AICHAMP,BE,AI Champdany Industries Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)/Surveillance action"
AKSHOPTFBR,BE,Aksh Optifibre Limited,5,-
ALPINEHOU,EQ,Alpine Housing Development Corporation Limited,5,-
AMLSTEEL,EQ,AML Steel Limited,5,-
ANGIND,BE,ANG Industries Limited,5,-
ANTGRAPHIC,EQ,Antarctica Limited,5,-
ARSSINFRA,EQ,ARSS Infrastructure Projects Limited,5,-
ASHAPURMIN,BE,Ashapura Minechem Limited,5,-
ASHIMASYN,BE,Ashima Limited,5,-
ASIANTILES,BE,Asian Granito India Limited,5,-
ASIL,EQ,Amit Spinning Industries Limited,5,-
ATLASCYCLE,BE,Atlas Cycles (Haryana) Limited,5,-
AUSOMENT,EQ,Ausom Enterprise Limited,5,-
BANARBEADS,BE,Banaras Beads Limited,5,-
BEARDSELL,EQ,Beardsell Limited,5,-
BECREL,BE,Best & Crompton Engg. Limited,5,-
BEDMUTHA,EQ,Bedmutha Industries Limited,5,-
BHARATGEAR,BE,Bharat Gears Limited,5,-
BILENERGY,BE,Bil Energy Systems Limited,5,-
BILPOWER,BE,Bilpower Limited,5,-
BIRLACOT,EQ,Birla Cotsyn (India) Limited,5,-
BLBLIMITED,BE,BLB Limited,5,-
BLUECOAST,BE,Blue Coast Hotels Limited,5,-
BODALCHEM,EQ,Bodal Chemicals Limited,5,-
BODHTREE,BE,Bodhtree Consulting Limited,5,-
BROADCAST,EQ,Broadcast Initiatives Limited,5,-
BROOKS,BE,Brooks Laboratories Limited,5,-
BVCL,BE,Barak Valley Cements Limited,5,-
CALSOFT,EQ,California Software Company Limited,5,-
CELESTIAL,EQ,Celestial Biolabs Limited,5,-
CHEMPLAST,EQ,Chemplast Sanmar Limited,5,-
CHESLINTEX,EQ,Cheslind Textiles Limited,5,-
COROENGG,EQ,Coromandel Engineering Company Limited,5,-
CTE,EQ,Cambridge Technology Enterprises Limited,5,-
CURATECH,EQ,Cura Technologies Limited,5,-
CYBERMEDIA,EQ,Cyber Media (India) Limited,5,-
DCM,BE,DCM Limited,5,-
DELTAMAGNT,EQ,Delta Magnets Limited,5,-
DHANUS,BE,Dhanus Technologies Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/17811 dated May 18, 2011 (Less than 50% Non Promoter shareholding in dematerialized form)/Surveillance action"
DHUNINV,EQ,Dhunseri Investments Limited,5,-
DSSL,BE,Dynacons Systems & Solutions Limited,5,-
EDSERV,EQ,Edserv Softsystems Limited,5,-
ENTEGRA,EQ,Entegra Limited,5,-
EONELECT,BE,Eon Electric Limited,5,-
EUROCERA,BE,Euro Ceramics Limited,5,-
FAME,BE,Fame India Limited,5,-
FARMAXIND,EQ,Farmax India Limited,5,-
GISOLUTION,BE,GI Engineering Solutions Limited,5,-
GKB,EQ,GKB Ophthalmics Limited,5,-
GOENKA,EQ,Goenka Diamond and Jewels Limited,5,-
GOLDENTOBC,BE,Golden Tobacco Limited,5,-
GUJSTATFIN,BT,Gujarat State Financial Corporation,5,-
HALONIX,EQ,Halonix Limited,5,-
HARITASEAT,EQ,Harita Seating Systems Limited,5,-
HINDDORROL,EQ,Hindustan Dorr-Oliver Limited,5,-
HINDSYNTEX,EQ,Hind Syntex Limited,5,-
HOPFL,BE,House of Pearl Fashions Limited,5,-
HOTELRUGBY,BE,Hotel Rugby Limited,5,-
IBPOW,EQ,Indiabulls Power Limited,5,-
IBSEC,BE,Indiabulls Securities Limited,5,-
IBWSL,BE,Indiabulls Wholesale Services Limited,5,-
ICSA,EQ,ICSA (India) Limited,5,-
IFBAGRO,BE,IFB Agro Industries Limited,5,-
IITL,EQ,Industrial Investment Trust Limited,5,-
IMPEXFERRO,EQ,Impex Ferro Tech Limited,5,-
INDIANCARD,BE,Indian Card Clothing Company Limited,5,-
INFODRIVE,BE,Info-Drive Software Limited,5,-
IOLN,EQ,IOL Netcom Limited,5,-
IVRCLAH,BE,IVRCL Assets & Holdings Limited,5,-
JAIBALAJI,BE,Jai Balaji Industries Limited,5,-
JAINSTUDIO,EQ,Jain Studios Limited,5,-
JDORGOCHEM,BE,JD Orgochem Limited,5,-
JEYPORE,BE,The Jeypore Sugar Company Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
JINDALSWHL,BE,Jindal South West Holdings Limited,5,-
JINDWORLD,BE,Jindal Worldwide Limited,5,-
KAKATCEM,BE,Kakatiya Cement Sugar & Industries Limited,5,-
KALYANIFRG,BE,Kalyani Forge Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
KANANIIND,BE,Kanani Industries Limited,5,-
KANDAGIRI,BE,Kandagiri Spinning Mills Limited,5,-
KARMAENG,EQ,Karma Energy Limited,5,-
KARURKCP,BE,Karur K.C.P. Packkagings Limited,5,-
KEYCORPSER,EQ,Keynote Corporate Services Limited,5,-
KHAITANLTD,EQ,Khaitan (India) Limited,5,-
KIRIINDUS,EQ,Kiri Industries Limited,5,-
KLGSYSTEL,BE,KLG Systel Limited,5,-
KOPDRUGS,EQ,KDL Biotech Limited,5,-
KOVAI,BE,Kovai Medical Center & Hospital Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
KRISHNAENG,EQ,Krishna Engineering Works Limited,5,-
KSK,BE,KSK Energy Ventures Limited,5,-
KTIL,EQ,Kesar Terminals & Infrastructure Limited,5,-
LAKSHMIFIN,BE,The Lakshmi Finance & Industrial Corporation Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
LIQUIDBEES,EQ,Goldman Sachs Liquid Exchange Traded Scheme,5,-
MANGLMCEM,BE,Mangalam Cement Limited,5,-
MCDHOLDING,BE,McDowell Holdings Limited,5,-
MELSTAR,EQ,Melstar Information Technologies Limited,5,-
MUDRA,BE,Mudra Lifestyle Limited,5,-
MUNJALAU,BE,Munjal Auto Industries Limited,5,-
MURLIIND,EQ,Murli Industries Limited,5,-
MVL,EQ,MVL Limited,5,-
NAGREEKCAP,EQ,Nagreeka Capital & Infrastructure Limited,5,-
NCLIND,BE,NCL Industries Limited,5,-
NDTV,EQ,New Delhi Television Limited,5,-
NEHAINT,BE,Neha International Limited,5,-
NEOCORP,EQ,Neo Corp International Limited,5,-
NEOCURE,EQ,Neocure Therapeutics Limited,5,-
NEULANDLAB,BE,Neuland Laboratories Limited,5,-
NICCO,EQ,Nicco Corporation Limited,5,-
NOVOPANIND,EQ,Novopan Industries Limited,5,-
NSIL,BE,Nalwa Sons Investments Limited,5,-
NUCENT,EQ,Nucent Finance Limited,5,-
NUMERICPW,BE,Numeric Power Systems Limited,5,-
NUTEK,EQ,Nu Tek India Limited,5,-
OSWALMIN,EQ,Oswal Minerals Limited,5,-
PANASONIC,BE,Panasonic Home Appliances India Company Limited,5,-
PANCARBON,EQ,Panasonic Carbon India Company Limited,5,-
PANCHSHEEL,EQ,Panchsheel Organics Limited,5,-
PARAL,BE,Parekh Aluminex Limited,5,-
PARRYSUGAR,EQ,Parrys Sugar Industries Limited,5,-
PBAINFRA,BE,PBA Infrastructure Limited,5,-
PEACOCKIND,BE,Peacock Industries Limited,5,-
PERIATEA,EQ,The Peria Karamalai Tea & Produce Company Limited,5,-
PGEL,BE,PG Electroplast Limited,5,-
PILANIINV,BE,Pilani Investment and Industries Corporation Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/19226 dated October 24, 2011 (Less than 50% Non Promoter shareholding in dematerialized form)."
POLARIND,BE,Polar Industries Limited,5,-
PRAENG,BE,Prajay Engineers Syndicate Limited,5,-
PRAKASH,BE,Prakash Industries Limited,5,-
PRICOL,BE,Pricol Limited,5,-
PRITHVISOF,EQ,Prithvi Softech Limited,5,-
RAIREKMOH,EQ,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited,5,-
RANKLIN,EQ,Ranklin Solutions Limited,5,-
RASOYPR,EQ,Rasoya Proteins Limited,5,-
REFEX,BE,Refex Refrigerants Limited,5,-
REGENCERAM,BE,Regency Ceramics Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)/Surveillance action"
REMSONSIND,EQ,Remsons Industries Limited,5,-
RESURGERE,BE,Resurgere Mines & Minerals India Limited,5,-
ROMAN,EQ,Roman Tarmat Limited,5,-
SABERORGAN,BE,Sabero Organics Gujarat Limited,5,-
SAKTHIFIN,BE,Sakthi Finance Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
SALONACOT,EQ,Salona Cotspin Limited,5,-
SAMBHAAV,EQ,Sambhaav Media Limited,5,-
SAMTEL,BE,Samtel Color Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
SANWARIA,EQ,Sanwaria Agro Oils Limited,5,-
SARTHAKIND,EQ,Sarthak Industries Limited,5,-
SEZAL,BE,Sezal Glass Limited,5,-
SGFL,BE,Shree Ganesh Forgings Limited,5,-
SGL,BE,STL Global Limited,5,-
SHASUNPHAR,BE,Shasun Pharmaceuticals Limited,5,-
SHIVAMAUTO,BE,Shivam Autotech Limited,5,-
SHREYANIND,EQ,Shreyans Industries Limited,5,-
SHREYAS,BE,Shreyas Shipping & Logistics Limited,5,-
SIL,BE,Standard Industries Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
SOMATEX,EQ,Soma Textiles & Industries Limited,5,-
SOUISPAT,EQ,Southern Ispat And Energy Limited,5,-
SPECTACLE,EQ,Spectacle Infotek Limited,5,-
SPLIL,EQ,SPL Industries Limited,5,-
SPYL,EQ,Shekhawati Poly-Yarn Limited,5,-
SRHHYPOLTD,BE,Sree Rayalaseema Hi-Strength Hypo Limited,5,-
SRICHAMUND,EQ,Sri Chamundeswari Sugars Limited,5,-
STERLINBIO,EQ,Sterling Biotech Limited,5,-
STINDIA,EQ,STI India Limited,5,-
STOREONE,BE,Store One Retail India Limited,5,-
SUJANATOW,EQ,Sujana Tower Limited,5,-
SUPREMETEX,BE,Supreme Tex Mart Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
SURYAJYOTI,BE,Suryajyoti Spinning Mills Limited,5,-
